time,RW_x,RW_y,RW_z,label,l_val,predicted_label,confidence
1.53E+12,2.0728924,-4.7441945,8.535721,unknown,4,4,0.45781144
1.53E+12,-5.041006,-5.605905,-8.583593,unknown,4,4,0.38692132
1.53E+12,2.6377914,0.71330476,10.431483,unknown,4,2,0.36999708
1.53E+12,-5.845269,-1.2494801,-2.7814097,unknown,4,2,0.47791034
1.53E+12,5.366541,2.034594,12.557036,unknown,4,2,0.5019606
1.53E+12,-1.6133134,-5.672927,5.6154795,unknown,4,2,0.531299
1.53E+12,-4.6005764,-6.678256,5.998462,unknown,4,4,0.38120344
1.53E+12,-12.269799,1.9101248,-0.062234644,unknown,4,4,0.42038068
1.53E+12,-0.9718179,-8.822957,2.7622607,unknown,4,1,0.32122245
1.53E+12,-1.8335283,-8.583593,3.777164,unknown,4,3,0.2657303
1.53E+12,0.15798025,-9.2825365,6.936769,unknown,4,3,0.26797906
1.53E+12,-2.867581,-6.592085,6.7261286,unknown,4,2,0.32914272
1.53E+12,-0.71330476,-4.0548263,8.372953,unknown,4,2,0.5364055
1.53E+12,-1.2111819,-5.49101,8.11444,unknown,4,2,0.57944167
1.53E+12,-5.845269,-7.35805,3.173967,unknown,4,2,0.6258501
1.53E+12,4.150572,0.26330042,19.383698,unknown,4,2,0.5387159
1.53E+12,1.929274,-1.4026731,8.210186,unknown,4,2,0.49640718
1.53E+12,-4.5144053,4.3133397,-8.334655,unknown,4,2,0.39155048
1.53E+12,8.1623125,0.8090504,19.354975,unknown,4,4,0.45488593
1.53E+12,-4.3995104,-1.1058618,5.1846247,unknown,4,4,0.47649875
1.53E+12,0.39734426,-4.926111,3.671844,unknown,4,1,0.29756394
1.53E+12,-1.0484143,-4.658024,6.764427,bathing,5,1,0.40869233
1.53E+12,1.7473572,-7.664436,-1.4984187,bathing,5,1,0.4027931
1.53E+12,3.5952475,-9.244238,0.3111732,bathing,5,1,0.38836962
1.53E+12,-5.787822,-8.4686985,-3.6143966,bathing,5,5,0.3033495
1.53E+12,-4.1122737,-10.393186,-4.7441945,bathing,5,5,0.60032827
1.53E+12,-6.4484663,-5.3378177,-16.396435,bathing,5,5,0.63218296
1.53E+12,-6.515488,-5.8835673,-4.236743,bathing,5,5,0.56700975
1.53E+12,-0.23457673,-3.9495063,-8.171887,bathing,5,3,0.3340365
1.53E+12,11.082554,-4.3803616,4.198445,bathing,5,5,0.61695164
1.53E+12,10.211268,-1.8814012,15.295361,bathing,5,5,0.3981962
1.53E+12,-0.85692316,-9.876159,-1.6707608,surface_seizing,6,5,0.44538915
1.53E+12,3.059072,-11.111278,-2.5707695,surface_seizing,6,1,0.3880617
1.53E+12,3.3558834,-6.0559096,-3.8729098,surface_seizing,6,1,0.28751183
1.53E+12,-1.3069274,-7.741032,-0.16755481,surface_seizing,6,6,0.55419457
1.53E+12,-1.0484143,-11.350641,0.3877697,surface_seizing,6,6,0.4926838
1.53E+12,3.384607,-2.254809,4.1409974,surface_seizing,6,6,0.36486524
1.53E+12,-0.32074776,-6.869747,-1.8048047,surface_seizing,6,6,0.41150618
1.53E+12,1.5845897,-12.968742,0.56968635,surface_seizing,6,6,0.7085073
1.53E+12,3.844186,-7.243155,-0.13883112,surface_seizing,6,6,0.68605983
1.53E+12,3.690993,-12.164479,-1.2303311,surface_seizing,6,6,0.7247089
1.53E+12,1.8335283,-8.813383,-0.69415563,surface_seizing,6,6,0.7376269
1.53E+12,1.5654407,-9.866585,-1.1250108,surface_seizing,6,6,0.72970146
1.53E+12,1.7473572,-9.703817,-1.0196906,surface_seizing,6,6,0.74562913
1.53E+12,1.6324625,-9.933606,-1.0675635,surface_seizing,6,6,0.72393745
1.53E+12,2.5899186,-11.36979,-1.1728836,surface_seizing,6,6,0.714227
1.53E+12,-0.10053288,-7.6740103,-3.3941817,surface_seizing,6,6,0.7221713
1.53E+12,2.6282167,-9.64637,-3.5282254,surface_seizing,6,6,0.7275322
1.53E+12,1.5750152,-8.487848,-0.47394073,surface_seizing,6,6,0.71874964
1.53E+12,1.5271424,-10.843189,-0.30159867,surface_seizing,6,6,0.61549616
1.53E+12,0.27287498,-8.727212,-1.3643749,surface_seizing,6,6,0.62101007
1.53E+12,0.40691882,-7.693159,-5.376116,surface_seizing,6,6,0.51476234
1.53E+12,1.9579976,-8.00912,-7.1857076,surface_seizing,6,6,0.6237718
1.53E+12,1.6707608,-9.138918,-0.91437054,surface_seizing,6,6,0.6019116
1.53E+12,2.5707695,-6.2952733,3.451629,surface_seizing,6,6,0.53385454
1.53E+12,-0.0718092,-4.236743,1.0867126,surface_seizing,6,6,0.62715393
1.53E+12,-1.1250108,-7.5591154,2.1782124,surface_seizing,6,6,0.67447126
1.53E+12,-2.1782124,-9.474028,1.4409714,surface_seizing,6,6,0.69792295
1.53E+12,0.49308985,-8.880404,2.3314054,surface_seizing,6,6,0.6926729
1.53E+12,-2.8484318,-12.212352,-0.09095833,surface_seizing,6,6,0.71233344
1.53E+12,1.8431029,-6.5825105,6.563361,surface_seizing,6,6,0.7033293
1.53E+12,0.0718092,-7.9899707,5.481436,surface_seizing,6,6,0.65119976
1.53E+12,0.10053288,-8.621892,4.0356774,surface_seizing,6,6,0.59171724
1.53E+12,10.728295,-1.8239537,8.200611,surface_seizing,6,1,0.40988103
1.53E+12,1.6899099,-13.093211,4.466532,surface_seizing,6,1,0.2935033
1.53E+12,-6.3144226,-4.5144053,3.6622694,surface_seizing,6,3,0.29208446
1.53E+12,1.8335283,-3.8729098,7.2910275,surface_seizing,6,3,0.2769652
1.53E+12,0.5313881,-4.581427,7.2144313,surface_seizing,6,3,0.38628748
1.53E+12,-1.9771467,1.1824582,-19.46987,bathing,5,3,0.34592697
1.53E+12,2.3122563,-4.456958,-11.05383,bathing,5,3,0.30025464
1.53E+12,9.167642,-9.847435,-6.438892,bathing,5,3,0.24925114
1.53E+12,4.1026993,-5.146326,15.84111,bathing,5,5,0.60268724
1.53E+12,-2.7622607,-10.527229,-3.4899273,bathing,5,5,0.5269255
1.53E+12,-0.59841,-8.191036,-7.501668,bathing,5,5,0.608386
1.53E+12,3.5856729,-7.6835847,1.8909757,bathing,5,5,0.5967943
1.53E+12,19.594337,-1.8526775,-3.212265,bathing,5,5,0.6379853
1.53E+12,2.8771553,-2.3792782,-6.323997,bathing,5,5,0.58873034
1.53E+12,0.8281995,-6.170804,-1.0484143,bathing,5,5,0.52564883
